Genes,rho_SkM,rho_AT
BET1,-0.353973168214654,-0.0269607843137255
PGRMC2,0.0546153846153846,-0.106719367588933
ZNF185,-0.15,0.0375494071146245
SURF4,0.296428571428571,-0.375
SPTLC1,-0.124505928853755,-0.148051948051948
INPP4B,0.225384615384615,-0.25197628458498
INPPL1,0.0675324675324675,0.398245614035088
EIF3D,0.103076923076923,-0.0632411067193676
EIF3H,-0.141739130434783,0.00169395821569735
STX7,0.199230769230769,-0.0365612648221344
ABCC4,0.362608695652174,-0.08300395256917
TAPBP,0.136923076923077,0.211462450592885
CLDN3,-0.493566243378767,-0.311465128571064
ZZEF1,-0.200592885375494,0.00649350649350649
ASAP2,0.0447863247863248,0.145217391304348
PLXNB1,-0.0598290598290598,-0.361739130434783
CYB5B,-0.326495726495727,0.12695652173913
ARHGAP6,0.18974358974359,-0.20695652173913
PSMD3,0.175384615384615,-0.523715415019763
TGFB1I1,0.0569230769230769,-0.0434782608695652
ADCY6,0.102608695652174,-0.221908526256352
MTSS1,0.011965811965812,-0.298260869565217
TXNL1,0.320869565217391,0.210615471485037
EIF4G3,-0.150649350649351,0.133834586466165
AKR7A2,-0.197264957264957,0.12
NCK2,-0.0588235294117647,-0.361764705882353
ACTN4,0.132307692307692,0.220869565217391
STRN,0.278260869565217,-0.167701863354037
CALU,-0.232136752136752,-0.222608695652174
AHCYL1,0.28,-0.226425748164879
KALRN,0.04,0.218379446640316
PLIN1,0.118260869565217,0.127046866177301
PRPSAP2,0.102167182662539,0.377450980392157
KIAA0513,0.271304347826087,-0.0525127046866177
SPAG9,0.106923076923077,0.198616600790514
SUSD5,-0.124102564102564,-0.301739130434783
OPA1,0.117391304347826,-0.323546019198193
PIP5K1C,-0.0770750988142293,0.0194805194805195
NRP2,-0.12,-0.16
ACSL4,-0.206098249576511,0.33984962406015
DOK2,-0.120869565217391,-0.365330321852061
DIAPH1,0.434615384615385,0.590909090909091
PLIN3,0.177865612648221,0.337662337662338
SLC16A7,-0.0381836945304438,-0.0278637770897833
JAK2,-0.307142857142857,0.442857142857143
TPST2,0.149122807017544,-0.240454076367389
SNX2,-0.191538461538462,0.154150197628459
DPM1,-0.235652173913043,-0.200451722190853
USO1,0.0269230769230769,-0.111660079051383
TMCC2,-0.101538461538462,-0.128458498023715
WDR1,0.0413675213675214,0.326086956521739
ROCK2,0.00307692307692308,0.122529644268775
RAB11FIP3,-0.267285861713106,0.0318627450980392
RTN2,-0.168695652173913,-0.0762281197063806
FLNB,-0.0769230769230769,-0.269230769230769
CS,0.208461538461538,0.0770750988142293
SEC22B,0.185770750988142,-0.32987012987013
NDUFS3,0.290225563909774,-0.199174406604747
STX11,-0.0407692307692308,0.108695652173913
SKAP2,0.0386324786324786,0.0365217391304348
MYCBP2,-0.0647058823529412,-0.0529411764705882
FCN3,-0.414017094017094,0.316521739130435
RP2,0.0859649122807018,0.00490196078431373
ATP6AP2,0.0513833992094862,-0.281761716544325
GRAP2,0.367692307692308,0.408102766798419
EIF3G,-0.025974025974026,0.317293233082707
ZMPSTE24,0.123076923076923,-0.158102766798419
ATRN,0.0796581196581197,-0.0747826086956522
ARL6IP5,0.0584615384615385,-0.25
FLOT1,-0.283076923076923,-0.177865612648221
PDE5A,0.0782905982905983,-0.051304347826087
ECM2,0.139145299145299,0.156521739130435
STK10,0.270175438596491,0.0964912280701754
ENDOD1,0.412649572649573,0.0530434782608696
ABLIM3,-0.133399209486166,0.168831168831169
SEC31A,0.0532467532467532,0.123308270676692
CLSTN1,-0.0591452991452991,-0.0852173913043478
MFN2,0.358101135190918,-0.399509803921569
NDUFB4,0.0269607843137255,-0.308823529411765
RTN3,0.245811965811966,-0.0634782608695652
VAPB,-0.184347826086956,0.0513833992094862
NDUFA10,0.00526315789473684,-0.463364293085655
IPO7,0.0530769230769231,-0.058300395256917
APOM,0.218461538461538,0.0460869565217391
GNAS,0.186274509803922,-0.0142857142857143
MPC2,-0.322077922077922,-0.345614035087719
ACSL3,0,-0.193506493506494
CDS2,0.380011293054771,-0.0345864661654135
SNAP29,0.140869565217391,-0.00734048560135517
AP2A1,0.186086956521739,-0.265951439864483
MLYCD,-0.178921568627451,-0.373529411764706
AIFM1,0.392481203007519,0.0385964912280702
ABHD16A,-0.178461538461538,0.386363636363636
EFEMP2,-0.00230769230769231,0.473320158102767
LDHA,-0.241106719367589,0.0841332580463015
GLUD1,0.292173913043478,0.1699604743083
CYB5R3,0.197948717948718,-0.0843478260869565
