phenotype,Genes,n,rho,p,q_global,q_within
mri_VL,ANKRD28,18,-0.397316821465428,0.103596036482681,1,0.935148547830613
VO2max.kg,PRKAR2B,26,-0.326432968024489,0.103616656707646,1,0.86939810923426
VO2max.kg,DYNC1H1,24,-0.340370168863036,0.103637573230371,1,0.86939810923426
mri_SAT,ESYT1,26,-0.326495726495727,0.103855954570818,1,0.745376608628479
mri_TAT,CHL1,26,0.326209613247723,0.103867057420927,1,0.882204278291872
VO2max.kg,UBASH3A,21,-0.364878531137249,0.103877869246675,1,0.86939810923426
PullDown,SLC3A2,24,0.340103521671871,0.103925877516761,1,0.998157011554019
mrs_Musc,ESYT1,19,-0.384601272912339,0.103975926495804,1,0.995917543552641
LegPress,ATP1A1,25,0.332821013567582,0.104026206111931,1,0.996392398835066
mri_VL,UFC1,17,0.409313725490196,0.104039021122669,1,0.935148547830613
mrs_Hep,AHCYL1,17,0.409313725490196,0.104039021122669,1,1
M_mg.kg.min,VKORC1L1,17,-0.409313725490196,0.104039021122669,1,0.988378186379285
mri_VL,APOB,25,0.333076923076923,0.104098717320444,1,0.935148547830613
LegPress,LY6G6F,26,-0.325958540132535,0.104149069621766,1,0.996392398835066
BMI,IPO9,23,-0.347547953193712,0.104173421890433,1,1
PullDown,TCP1,25,0.33262776756999,0.104239596161621,1,0.998157011554019
mri_TAT,IGLC7,26,0.325867674449769,0.104251272563801,1,0.882204278291872
LegPress,EML3,22,-0.355647450565591,0.104294544724164,1,0.996392398835066
VO2max.kg,RNF11,20,0.373965493374219,0.104310508335608,1,0.86939810923426
VO2max.kg,APOE,26,0.325748622179574,0.104385291693192,1,0.86939810923426
FFM,ST3GAL6,24,0.339639059996807,0.104429476633888,1,0.998761796865375
mri_IP,TPI1,25,0.332371616073275,0.10452294861621,1,0.999906809281029
mri_SAT,PLCG2,20,0.374436090225564,0.104589584761549,1,0.745376608628479
mri_SAT,HBB,26,0.325811965811966,0.104614260860137,1,0.745376608628479
mri_TAT,RTN3,26,-0.325525735651816,0.104636542912256,1,0.882204278291872
Weight,PIP5K1C,23,0.347095274694236,0.104655693041377,1,0.999276979001456
ChestPress,LTBP4,18,0.395028022701763,0.104711906903657,1,0.903550016639837
mrs_Musc,SLMAP,17,-0.407198177049157,0.104749869157857,1,0.995917543552641
LegPress,EIF3C;EIF3CL,25,-0.332048807039583,0.104880849027258,1,0.996392398835066
mri_VL,HBB,25,-0.332307692307692,0.104937750182462,1,0.935148547830613
VO2max.kg,NDUFA10,19,-0.383501572680179,0.105053089485632,1,0.86939810923426
VO2max.kg,PLEKHO2,25,-0.33185770904771,0.105093147700952,1,0.86939810923426
VO2max.kg,PFKP,26,-0.325064276334659,0.105158155404957,1,0.86939810923426
mrs_Hep,IGKV2D-29,19,-0.38421052631579,0.105230099129982,1,1
mri_IP,TPM1,22,-0.354702075708844,0.105284394075586,1,0.999906809281029
mri_IP,MIA3,22,-0.354702075708844,0.105284394075586,1,0.999906809281029
BMI,ATP6V0A1,24,0.338850688443082,0.105288400273677,1,1
mri_VL,PPIA,24,-0.339130434782609,0.105376931407621,1,0.935148547830613
M_mg.kg.min,HSD17B10,23,0.346837944664032,0.10538942647754,1,0.988378186379285
mri_IP,ARPC1B,26,-0.324841858055908,0.105410255313528,1,0.999906809281029
M_mg.kg.min,RAB2B,18,0.395252837977296,0.105526488164557,1,0.988378186379285
mri_SAT,CASP6,18,0.395252837977296,0.105526488164557,1,0.745428310783504
VO2max.kg,TXNL1,24,0.338629144981384,0.105530705119323,1,0.86939810923426
PullDown,AMBP,25,-0.331448236479316,0.105549118633836,1,0.998157011554019
Weight,LAMA2,26,0.324610954306288,0.10567244745543,1,0.999276979001456
VO2max.kg,AK2,21,0.363104923340289,0.10569672131366,1,0.86939810923426
mrs_Hep,KRT2,13,-0.472527472527473,0.105719185214898,1,1
LegPress,GRAP2,25,-0.331276600511584,0.105740679809895,1,0.996392398835066
mrs_Musc,RETREG3,16,-0.419356934880509,0.105894687353733,1,0.995917543552641
mri_TAT,P2RX1,23,-0.345935271247768,0.105899020006294,1,0.882204278291872
VO2max.kg,SEPTIN2,25,-0.331087737565001,0.10595176495314,1,0.86939810923426
mri_SAT,PTTG1IP,20,0.372932330827068,0.106074593932156,1,0.745428310783504
mri_SAT,RAN,20,0.372932330827068,0.106074593932156,1,0.745428310783504
mrs_Musc,H4C1,18,-0.393554128086951,0.106130989782377,1,0.995917543552641
BMI,CORO1C,26,0.324195586704079,0.10614531708793,1,1
BMI,RASA3,25,0.330892065732518,0.106170788727781,1,1
mrs_Hep,AHCY,15,0.435714285714286,0.106277009219738,1,1
VO2max.kg,PCSK6,23,-0.345526488086769,0.106339740920835,1,0.86939810923426
ChestPress,IGKC,25,0.33066766108721,0.106422386367877,1,0.903550016639837
mri_TAT,RNH1,22,0.354037267080745,0.106504823336409,1,0.882204278291872
mri_TAT,EIF3L,25,-0.330769230769231,0.106631079431928,1,0.882204278291872
mri_IP,TNS1,25,-0.330448169220999,0.106668902114153,1,0.999906809281029
mrs_Musc,NDUFA13,15,-0.433238405687526,0.106704374930511,1,0.995917543552641
PullDown,FNBP1L,24,-0.337432551606385,0.106846548125593,1,0.998157011554019
ChestPress,ENO1,25,-0.330274009109726,0.106864805004308,1,0.903550016639837
M_mg.kg.min,TC2N,26,0.323760683760684,0.106914266697354,1,0.988378186379285
Weight,ST8SIA4,25,0.330190549529881,0.106958778172398,1,0.999276979001456
mri_TAT,VBP1,21,0.362337662337662,0.107093449617669,1,0.882204278291872
M_mg.kg.min,DAAM1,24,0.337391304347826,0.107261463732494,1,0.988378186379285
mri_TAT,TXNDC15,26,0.32313216406614,0.107363108694125,1,0.882204278291872
FFM,MFAP4,23,0.344537857219567,0.10741117690376,1,0.998761796865375
Weight,RABEP1,21,-0.361391136991047,0.107476151946894,1,0.999276979001456
mrs_Hep,AMPD2,18,0.393188854489164,0.107483216044424,1,1
mri_TAT,SEC11A,18,-0.393188854489164,0.107483216044424,1,0.882204278291872
M_mg.kg.min,TDRP,25,0.33,0.107485409351852,1,0.988378186379285
Weight,AP3D1,22,-0.352542429145912,0.107571406313459,1,0.999276979001456
FFM,TXNRD1,19,0.38086883877162,0.107664500605668,1,0.998761796865375
mri_VL,NSDHL,22,-0.352907961603614,0.107685577347737,1,0.935148547830613
FFM,ITIH1,26,0.322845436117007,0.107693223798252,1,0.998761796865375
VO2max.kg,IARS2,20,-0.370622126149458,0.10769399486289,1,0.86939810923426
ChestPress,ECPAS,18,-0.391890949661782,0.107748774740942,1,0.903550016639837
mrs_Hep,INPPL1,14,0.450549450549451,0.108090693109141,1,1
mrs_Hep,SEC11A,14,0.450549450549451,0.108090693109141,1,1
mri_TAT,ACTBL2,26,-0.322448286470233,0.108151710714494,1,0.882204278291872
ChestPress,PLG,25,0.329093053177271,0.108200216868767,1,0.903550016639837
mri_TAT,PPP1R3E,24,0.336521739130435,0.108213149729406,1,0.882204278291872
FFM,EIF6,24,-0.336521739130435,0.108213149729407,1,0.998761796865375
mri_SAT,RTN2,24,-0.336521739130435,0.108213149729407,1,0.748538934627657
mri_TAT,COPB1,25,-0.329230769230769,0.108344871739249,1,0.882204278291872
M_mg.kg.min,ACADM,25,0.329230769230769,0.108344871739249,1,0.988378186379285
PullDown,ADGRG6,18,-0.391249564648618,0.108377334493055,1,0.998157011554019
BMI,PSMD13,23,-0.34349620655109,0.108548617736585,1,1
mrs_Hep,BGN,17,0.404411764705882,0.108558670701569,1,1
ChestPress,ESYT2,25,-0.328699401199786,0.10864807994309,1,0.903550016639837
PullDown,ZMPSTE24,24,-0.335651904896061,0.108826967116691,1,0.998157011554019
M_mg.kg.min,SEC23IP,22,0.351778656126482,0.108876054542472,1,0.988378186379285
VO2max.kg,ATL3,25,-0.328392837375518,0.108997807998866,1,0.86939810923426
mri_VL,RABEP1,20,-0.369924812030075,0.109091366246343,1,0.935148547830613
mri_VL,USP24,20,-0.369924812030075,0.109091366246343,1,0.935148547830613
mri_SAT,ACSL5,20,-0.369924812030075,0.109091366246343,1,0.748538934627657
PullDown,SERPINA10,25,-0.328302820237519,0.10910065710593,1,0.998157011554019
mri_VL,ROCK2,24,-0.335652173913044,0.109171145550048,1,0.935148547830613
mri_SAT,SERPINE1,25,0.328461538461538,0.109209483232562,1,0.748538934627657
mri_SAT,PRUNE1,25,0.328461538461538,0.109209483232562,1,0.748538934627657
M_mg.kg.min,CNP,18,0.391124871001032,0.109466401615886,1,0.988378186379285
mrs_Hep,KIF2A,18,0.391124871001032,0.109466401615886,1,1
M_mg.kg.min,TOMM70,23,0.342885375494071,0.109621579442724,1,0.988378186379285
mri_SAT,ADD3,23,0.342885375494071,0.109621579442724,1,0.748538934627657
mri_VL,TTYH3,23,-0.342885375494071,0.109621579442724,1,0.935148547830613
mri_TAT,CCT7,23,-0.342885375494071,0.109621579442724,1,0.882204278291872
mri_IP,DBNL,25,-0.327755343627813,0.109727718798976,1,0.999906809281029
mrs_Musc,LDLRAP1,16,-0.414895690892418,0.110050110109855,1,0.995917543552641
mri_VL,APLP1,22,0.350649350649351,0.110076297105168,1,0.935148547830613
FFM,INHBE,26,0.320793452412874,0.110077692445154,1,0.998761796865375
M_mg.kg.min,PSMD7,25,0.327692307692308,0.1100792604175,1,0.988378186379285
mri_VL,LUM,25,0.327692307692308,0.1100792604175,1,0.935148547830613
LegPress,DYNC1H1,24,0.334501005917131,0.110121265207401,1,0.996392398835066
mri_SAT,GUCY1B1,24,-0.334782608695652,0.11013547354495,1,0.748538934627657
mri_TAT,ITGB3,26,-0.320738592480465,0.110141972546612,1,0.882204278291872
mri_TAT,THBS4,26,0.320738592480465,0.110141972546612,1,0.882204278291872
mrs_Hep,CASP6,13,-0.467032967032967,0.110259718656138,1,1
ChestPress,PDE3A,24,-0.334341684766823,0.110301324291783,1,0.903550016639837
mri_VL,VCAN,19,0.378947368421053,0.110392067102247,1,0.935148547830613
mrs_Hep,CCT2,19,0.378947368421053,0.110392067102247,1,1
mri_TAT,VTN,26,0.320396653682512,0.110543252307551,1,0.882204278291872
ChestPress,RTN2,23,0.341675003062754,0.110558464503463,1,0.903550016639837
mri_TAT,TAP1,20,-0.368421052631579,0.110623298300421,1,0.882204278291872
mri_TAT,CYTH2,20,-0.368421052631579,0.110623298300421,1,0.882204278291872
mri_SAT,PPA2,20,0.368421052631579,0.110623298300421,1,0.748538934627657
VO2max.kg,EMC2,17,-0.400981068623498,0.110680436502841,1,0.86939810923426
VO2max.kg,FLNA,26,-0.320273855420253,0.110687624619459,1,0.86939810923426
VO2max.kg,ECPAS,19,-0.37785647106471,0.110709348914855,1,0.86939810923426
Weight,SPARC,26,-0.320164228904832,0.110816628735018,1,0.999276979001456
mri_SAT,GP5,26,0.32034188034188,0.110831986050452,1,0.748538934627657
LegPress,PSMC6,26,0.320125597835427,0.110862114694128,1,0.996392398835066
BMI,PLXDC2,26,0.320083169113752,0.110912088070581,1,1
LegPress,IGKV1-27,21,0.358125064246422,0.110927465604966,1,0.996392398835066
PullDown,STAT5B,23,0.341307732623483,0.110967053244695,1,0.998157011554019
BMI,SERPINB6,25,-0.326649859761589,0.111001996214282,1,1
Weight,ANTXR1,24,0.333695959681264,0.111033313922974,1,0.999276979001456
VO2max.kg,HLA-A,26,-0.319931682497796,0.111090647731901,1,0.86939810923426
Weight,DUSP3,22,-0.34925132638855,0.111126067042203,1,0.999276979001456
mri_TAT,ACAP2,21,-0.358441558441558,0.111134068922551,1,0.882204278291872
Weight,CETP,26,0.31982217310472,0.111219860331189,1,0.999276979001456
mri_TAT,LRRC8D,22,-0.349520045172219,0.111286347019748,1,0.882204278291872
PullDown,PPIA,24,0.333426096508156,0.111340282839863,1,0.998157011554019
mri_IP,PRKAR2B,26,-0.319712776086605,0.111349051118204,1,0.999906809281029
mri_TAT,SVEP1,26,0.319712776086605,0.111349051118204,1,0.882204278291872
PullDown,CYFIP2,15,0.428136950062123,0.111362312902074,1,0.998157011554019
mri_SAT,VSIG4,18,0.3890608875129,0.111476224789762,1,0.748538934627657
mri_VL,SCARF1,18,-0.3890608875129,0.111476224789762,1,0.935148547830613
mri_TAT,SLC16A7,18,-0.3890608875129,0.111476224789762,1,0.882204278291872
VO2max.kg,SPTLC1,23,-0.3408362735062,0.111493168831104,1,0.86939810923426
LegPress,TGFB1,26,-0.319439369329884,0.111672411252227,1,0.996392398835066
PullDown,OGN,23,-0.340619905320514,0.111735229972407,1,0.998157011554019
mri_IP,TCP1,26,-0.319370837288651,0.111753573129606,1,0.999906809281029
