ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,cluster
GO:0046503,glycerolipid catabolic process,8/231,17/1487,0.470588235294118,3.02928444104915,3.60769067469397,0.00205238654489689,0.0401962088207997,0.0365660357551059,LDLR/APOA2/APOC1/APOC3/APOA4/GPLD1/APOA5/SORL1,8,C1
GO:0090101,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,8/231,17/1487,0.470588235294118,3.02928444104915,3.60769067469397,0.00205238654489689,0.0401962088207997,0.0365660357551059,FBN1/LRP1/VASN/CD109/ADAMTSL2/SORL1/ASPN/DKK3,8,C1
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,23/231,82/1487,0.280487804878049,1.80556435434484,3.21728533797883,0.00209455348762076,0.0405902417969455,0.036924483089248,IGHV2-26/IGHV3-74/IGHV1-18/IGHV1-24/MASP2/C1R/C3/IGHG2/IGHG3/IGHG4/IGHM/C1QB/C2/C8A/C8B/C8G/C7/CLU/C6/IGLL1/FCER1G/CTSC/SVEP1,23,C1
GO:0072359,circulatory system development,36/231,148/1487,0.243243243243243,1.56581256581257,3.10980911654517,0.00216881955999489,0.0415679644849031,0.0378139063412224,NRP1/NRP2/EFEMP2/C3/LDLR/APOE/RBP4/IGF1/APOD/ITGAV/DCN/SERPINF2/KIT/FGFR1/RNH1/VCAM1/CDH5/FBN1/FLT4/COL18A1/MCAM/COMP/CDH13/GPLD1/HSPG2/LRP1/TGFBI/SVEP1/MIA3/CSPG4/PLXDC1/ADGRF5/ANGPTL6/MMP19/ANTXR1/HEG1,36,C1
GO:0071363,cellular response to growth factor stimulus,25/231,92/1487,0.271739130434783,1.74924712968191,3.18091799265375,0.00219016434276785,0.0415679644849031,0.0378139063412224,NRP1/NRP2/AGT/CAT/DCN/CD63/FGFR1/CD44/VCAM1/TNXB/CDH5/FBN1/FLT4/COMP/FMOD/GAS6/LTBP2/POSTN/VASN/CD109/ADAMTSL2/SORL1/NEO1/ASPN/DKK3,25,C1
GO:0090287,regulation of cellular response to growth factor stimulus,14/231,41/1487,0.341463414634146,2.19807834441981,3.33513620610157,0.00223003008742214,0.0418927080708587,0.0381093219021334,NRP1/AGT/DCN/CD63/TNXB/CDH5/FBN1/VASN/CD109/ADAMTSL2/SORL1/NEO1/ASPN/DKK3,14,C1
GO:0031099,regeneration,13/231,37/1487,0.351351351351351,2.26172926172926,3.33198939986513,0.00239218826044037,0.0433030294633506,0.0393922752944285,APOA2/IGF1/APOD/APOA4/SPP1/IGF2R/TNC/MTPN/HSPG2/GAS6/POSTN/APOA5/NEO1,13,C1
GO:0030323,respiratory tube development,9/231,21/1487,0.428571428571429,2.75881261595547,3.48002856946866,0.00239919011692654,0.0433030294633506,0.0393922752944285,RBP4/FGFR1/IGFBP5/TNC/FBN1/FLT4/MAN2A1/ADAMTSL2/HEG1,9,C1
GO:0030324,lung development,9/231,21/1487,0.428571428571429,2.75881261595547,3.48002856946866,0.00239919011692654,0.0433030294633506,0.0393922752944285,RBP4/FGFR1/IGFBP5/TNC/FBN1/FLT4/MAN2A1/ADAMTSL2/HEG1,9,C1
GO:0060541,respiratory system development,9/231,21/1487,0.428571428571429,2.75881261595547,3.48002856946866,0.00239919011692654,0.0433030294633506,0.0393922752944285,RBP4/FGFR1/IGFBP5/TNC/FBN1/FLT4/MAN2A1/ADAMTSL2/HEG1,9,C1
GO:0010647,positive regulation of cell communication,48/231,214/1487,0.224299065420561,1.44386454666829,3.00859491598207,0.00251503633802901,0.0449532223137029,0.0408934370342785,NRP1/PLXNB1/ATP6AP2/CLSTN1/F10/AGT/C3/APOA1/APOE/RBP4/CAT/IGF1/S100A9/ITGAV/PROS1/CSF1R/DCN/LAMB1/CD14/SERPINF2/CD63/CSF1/SPP1/CHGA/KIT/CLU/LAMC1/FGFR1/NID1/CD44/TNXB/LAMA2/IGFBP5/PDIA3/CDH5/FLT4/CTSC/CDH13/RELN/GPLD1/AKAP12/GAS6/CSPG4/SORL1/NEO1/TXNDC15/C1QTNF3/GLIPR2,48,C1
GO:0071402,cellular response to lipoprotein particle stimulus,7/231,14/1487,0.5,3.21861471861472,3.5757332194018,0.00258096218062016,0.0453534079580868,0.0412574813810092,LDLR/APOA1/APOE/APOA2/FCER1G/CDH13/MIA3,7,C1
GO:0061448,connective tissue development,11/231,29/1487,0.379310344827586,2.44170771756979,3.36138327761275,0.00258669627137377,0.0453534079580868,0.0412574813810092,MGP/CSF1/FGFR1/CD44/OGN/THBS3/COMP/GPLD1/EFEMP1/TGFBI/SORL1,11,C1
GO:0003008,system process,47/231,209/1487,0.22488038277512,1.44760661985542,2.99243545685111,0.00265641613457167,0.0461364349410042,0.0419697921559437,CHL1/ATP6AP2/SERPINA3/AGT/LDLR/APOA1/APOE/APOA2/CRP/RBP4/IGF1/APOA4/SOD3/CTSG/LPA/SERPINF2/DBH/SPP1/CHGA/KIT/EPB41/FGFR1/PTPRZ1/IGFBP5/CDH5/FLT4/COL18A1/MCAM/COMP/CTSC/MTPN/RELN/AKAP12/LRP1/EFEMP1/GAS6/POSTN/PON3/TGFBI/SVEP1/PKHD1L1/ADGRF5/CEMIP/C1QTNF3/CDH23/B3GNT2/HEG1,47,C1
GO:0046486,glycerolipid metabolic process,18/231,60/1487,0.3,1.93116883116883,3.1565497900283,0.00288073471203568,0.0495647906996045,0.0450885285474547,C3/LDLR/APOA1/APOE/APOA2/APOC1/APOC3/CAT/LCAT/APOA4/CETP/TNXB/PI4KA/GPLD1/APOBR/APOA5/PCSK9/SORL1,18,C1
