Protein.Group,Genes,n_obs,n_ID,est_ri,se_ri,p_ri,q_ri,logLik_ri,rs_default_ok,rs_error,rs_fitted,rs_converged,rs_singular,est_rs,se_rs,p_rs,logLik_rs,LRT_chisq,LRT_p,sd_slope,cor_int_slope,sigma_ri,sigma_rs,q_rs,q_ri_sub
Q8TD19,NEK9,49,26,-0.109599428319113,0.0965635359861006,0.256376121207304,0.447571872616141,-16.3458450261889,FALSE,number of observations (=49) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.112206423533573,0.103251789993664,0.27715783943273,-16.0738796878803,0.543930676617229,0.76188066870478,0.378480500301138,-0.787665920827447,0.33778358852337,0.24481543233844,0.474732662886439,0.447571872616141
O00151,PDLIM1,52,26,-0.123645808693809,0.109039999270971,0.25681590083846,0.44783359683456,-35.2853589273884,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.123412495010449,0.109068480647548,0.257838882929545,-34.7119513660654,1.14681512264599,0.563601655653302,0.188862887136258,-0.867231735723754,0.390536709455998,0.367273872101096,0.455269799001311,0.44783359683456
Q13884,SNTB1,49,25,-0.133052360859365,0.117621180209451,0.257973491357365,0.449345032860349,-27.3252987880977,FALSE,number of observations (=49) <= number of random effects (=50) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.132515925707814,0.117594474261286,0.259789392426894,-27.2479394752268,0.154718625741921,0.925557229226692,0.386827816456222,-0.733610025252678,0.41043442705798,0.306409781030375,0.456107512840398,0.449345032860349
Q16851,UGP2,52,26,-0.120443547586008,0.106638090812075,0.258703480286585,0.450109095768889,-32.7344903310824,FALSE,number of observations (=52) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.120373326764085,0.106655746715378,0.259060077654978,-32.7340218281587,0.00093700584743317,0.999531606806641,0.259946871682549,-0.386087379754484,0.382158035488046,0.335122464927222,0.455863120702666,0.450109095768889
O75154,RAB11FIP3,44,26,-0.163514438316322,0.14498661339004,0.259408659559818,0.450568538911835,-29.7433787659317,FALSE,number of observations (=44) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.147000007169054,0.158412358057224,0.353429381957431,-29.2067037426205,1.07335004662244,0.584689101579659,0.564835819258905,-0.808618439238044,0.475707241818478,0.343010773828648,0.543984992542855,0.450568538911835
Q9BZ72,PITPNM2,40,25,-0.163387049880989,0.144916891282011,0.259550808822999,0.450568538911835,-25.0385439715274,FALSE,number of observations (=40) <= number of random effects (=50) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.151430485986718,0.156376486678907,0.332859017693159,-24.6121394500274,0.852809042999951,0.652852195948307,0.614631523049865,-0.851124217825479,0.452496643333815,0.255152530525966,0.523693668366528,0.450568538911835
P10646,TFPI,45,26,0.226124959127969,0.201181174362351,0.2610186790981,0.45255221727652,-46.042580064609,FALSE,number of observations (=45) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.229886032335633,0.206062121668657,0.264586888640017,-45.8729196111045,0.339320907008883,0.843951328667617,0.75403287031256,-0.677109746202497,0.673161446496372,0.440560208399816,0.460345431248678,0.45255221727652
Q8NBS9,TXNDC5,51,26,0.122011685723183,0.108665634968666,0.261514975716485,0.45255221727652,-30.1503124955198,FALSE,number of observations (=51) <= number of random effects (=52) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.123474169333809,0.107974308144532,0.252809734040635,-30.086174207163,0.128276576713553,0.937875293329332,0.275613781963422,-0.596153136991867,0.38573463447761,0.33040030810501,0.451093201672817,0.45255221727652
Q9UHG3,PCYOX1,48,25,0.178226071464535,0.158820132075154,0.261782446589649,0.45255221727652,-43.2975813981129,FALSE,number of observations (=48) <= number of random effects (=50) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,0.179298304764011,0.158761797917466,0.258748441286886,-43.1724493429597,0.250264110306276,0.882380372015381,0.463827220250438,-0.686082156488912,0.547733699465791,0.438448355283542,0.455833913099475,0.45255221727652
Q93008,USP9X,44,25,-0.120679067984217,0.107557716330258,0.261865166501753,0.45255221727652,-23.9779245986157,FALSE,number of observations (=44) <= number of random effects (=50) for term (1 + SampleCode | ID2); the random-effects parameters and the residual variance (or scale parameter) are probably unidentifiable,TRUE,FALSE,FALSE,-0.12077707032737,0.107576249075201,0.261560127705011,-23.9778292795338,0.000190638163772405,0.999904685460833,0.228498847740025,-0.372177700928839,0.346100962254226,0.30610353013396,0.457138458488961,0.45255221727652
