Genes,est_ep,q_ep,est_se,q_se
BIN2,-0.211046513597301,0.271970070100144,-0.122476923076923,0.791889373673481
BNIP2,-0.113366499208866,0.483035423212922,-0.015988461538462,0.9877287018047
BPIFB1,0.376361267476207,0.072725208548654,0.150111538461539,0.313544330337952
BRK1,-0.0759502666139582,0.685460498596016,-0.00675769230769213,0.9877287018047
BSG,0.0801620183288253,0.487965328948086,0.00413076923076922,0.956250097577454
BTD,0.522785699252047,0.0517097892430426,-0.0752576923076926,0.128486112706427
C1QA,0.143277371918578,0.743896440408678,-0.0955846153846153,0.118165828159307
C1QBP,-0.0258476232989825,0.922156664718534,0.0272846153846161,0.948725514225062
C1R,0.324885136232415,0.164110608581169,-0.00733076923076923,0.932342541762732
C1RL,-0.0171373610259156,0.947833559402364,0.078796153846154,0.397043597841212
C1S,0.0151249280760985,0.904641869915739,-0.113326923076923,0.75420956660782
C2,0.449494433905147,0.185320413862917,-0.00148461538461514,0.991818929095392
C2CD2L,-0.0610715419305354,0.68690737605074,-0.0480384615384611,0.859279368708756
C3,0.178535237349959,0.238435455727186,-0.0297884615384606,0.771579980556782
C4BPB,0.280197193138465,0.423849069650178,0.0253076923076922,0.861836120523205
C5,0.208878802442608,0.447571872616141,-0.0619615384615386,0.582160916683428
C7,0.552338850666284,0.0828922682768763,0.000476923076923078,0.999616497242442
C8B,0.33464739017672,0.153260965495906,-0.0352500000000002,0.862251222635849
C9,-0.0703633194243083,0.467560973949144,0.162673076923077,0.74051179543019
CALCOCO1,-0.2012239353604,0.118776089707397,-0.107796153846154,0.489022944363361
CASP3,-0.16805071881548,0.490841537962637,-0.0543923076923074,0.707819985599655
CAT,0.157143713514185,0.188974803292354,-0.0299461538461543,0.902152676350938
CCS,-0.11390986953962,0.533188951455075,0.106830769230771,0.655830321130839
CCT5,-0.207705305913113,0.157228748003735,-0.143388461538462,0.183413509259232
CD109,0.180707033885041,0.202134754388736,0.0292576923076923,0.77008112938986
CD14,0.281184484819125,0.172448395817832,0.0508576923076923,0.770916347220821
CD226,-0.14130110101882,0.254258061394722,0.0471807692307714,0.7433857626248
CD248,0.582406392232213,0.163308707298701,0.0822538461538461,0.425256318812983
CD2AP,-0.0438133461432983,0.846515281105253,-0.0190499999999992,0.961819496255815
CD36,-0.088927689637603,0.562666407715734,-0.0479500000000019,0.645436733647517
CD63,0.604835216439844,0.116341503439637,-0.0107115384615399,0.963690931527136
CD84,-0.0269929968602208,0.916221347452713,-0.194199999999999,2.00499959808356e-08
CDC37,-0.0410772426595358,0.860218980310227,0.120653846153846,0.694284798770556
CDC42BPB,-0.134837281315673,0.0799840430886688,-0.172457692307692,0.0564589635587567
CDH1,0.273436025813734,0.381133505445231,0.0358423076923076,0.645436733647517
CDH15,0.432938678901725,0.0574057722061739,0.0375346153846158,0.888182747286978
CDH23,0.632883824334031,0.0534911902011478,0.0276307692307702,0.827184904322245
CDH5,0.543188322634644,0.0151545433696752,0.146826923076922,0.000632503803014385
CDH6,0.633058487160948,0.00648137914431768,-0.0299846153846155,0.838363122951812
CDHR2,-0.0236131669728784,0.93340955699793,-0.197042307692308,0.00158435749446019
CDHR5,0.172098674841863,0.563011990959652,-0.0504076923076925,0.482792612875934
CEP170,0.0127831054297416,0.903505477099763,-0.195253846153847,0.0104324808682806
CFB,0.512001009132966,0.17793550742644,0.0144230769230769,0.938769854969572
CFD,0.219271072841009,0.305292260825664,0.0142000000000001,0.902229179533949
CFH,0.207633630851035,0.497205398940927,-0.0362423076923074,0.734013446116124
CFI,0.328443017021281,0.423849069650178,-0.0381730769230772,0.713024715023775
CHGA,0.479752821279129,0.0226161760465772,-0.136376923076923,0.239303088057047
CHGB,0.434041906437592,0.0746052792400597,0.0943230769230771,0.465667866288212
CHL1,0.331178952339354,0.140021852227777,0.0221846153846153,0.776831953806144
CLASP1,-0.128143152298971,0.487965328948086,-0.401242307692308,0.180632633939909
CLEC11A,0.495137217156358,0.0458027129936234,0.0759961538461545,0.3561698106716
CLEC3B,0.263050357373975,0.552369353990151,-0.0116384615384616,0.92301663181771
CLINT1,-0.0361133992407986,0.812045457915661,-0.0192384615384615,0.955552474590878
CLIP2,0.000344976094309008,0.99794876737765,-0.150857692307692,0.640497774008376
CLU,0.18617755766159,0.100620032854385,-0.0772576923076922,0.495053736093929
CMIP,0.0699591913109905,0.618162006784789,-0.178392307692308,0.122931155094
CNDP1,0.721134987139656,0.0367834368020345,0.0817538461538457,0.15478989574396
CNP,0.0719478557881294,0.741744126731874,-0.0185769230769224,0.937303105471315
CNPY2,-0.432332305165401,0.0417755051053057,-0.096530769230769,0.619573289593379
CNST,-0.206543097474308,0.198557689037756,0.00417307692307683,0.991818929095392
COL18A1,0.565156445159529,0.00554715131857844,0.00343076923076923,0.979201160627937
COL6A3,0.304615371109398,0.109426135166313,0.0443576923076925,0.667077151406443
COMP,0.255375155483966,0.234021120398196,-0.102119230769231,0.311141205566064
COMT,0.023819097625281,0.843166040159656,0.0163692307692301,0.953400138581404
