Protein.Group,Genes,Estimate,SE,p,n_ID,q
P42338,PIK3CB,-0.0926686200733455,0.173716346528387,0.593723567856955,24,0.741744126731874
P09543,CNP,0.0719478557881294,0.134910787709905,0.593826272922699,25,0.741744126731874
Q684P5,RAP1GAP2,-0.0490161009844623,0.0919232528977481,0.59387539467141,26,0.741744126731874
Q6IAA8,LAMTOR1,-0.101251041743658,0.19019694082223,0.594484699408739,25,0.741905380118337
P00747,PLG,0.0902779152900833,0.169894270717358,0.595157526311609,26,0.742145583657333
Q8TF42,UBASH3B,-0.129545612386571,0.244762532523694,0.596617747549645,26,0.743366467713065
P02745,C1QA,0.143277371918578,0.271377355574988,0.597524584172925,26,0.743896440408678
P54819,AK2,-0.0549786377267776,0.104427212116589,0.59855608085079,25,0.744219797991414
Q9Y333,LSM2,0.0896562796979156,0.170383695437785,0.598747708028043,24,0.744219797991414
P42224,STAT1,-0.0532688546533509,0.101793437713537,0.600763117550078,25,0.745765702125352
P06730,EIF4E,0.0577810283935207,0.110474688476995,0.600956827926255,24,0.745765702125352
P55145,MANF,-0.047846672949637,0.0929476538064335,0.606713682235624,25,0.752305488807414
Q5SW96,LDLRAP1,0.0682337387966287,0.132795137032943,0.607372886303343,26,0.752518932909916
P25788,PSMA3,0.107569368513892,0.20975045737961,0.60806009851584,26,0.752525090978535
P36542,ATP5F1C,-0.0805537662418184,0.157200384514999,0.608351999114687,26,0.752525090978535
Q8N766,EMC1,0.052677585288804,0.103007189453138,0.609072975393327,26,0.752814197586152
O14818,PSMA7,0.0536328279902885,0.105300345946044,0.610519583422967,26,0.7538354273843
Q9UJW0,DCTN4,-0.0571030178923622,0.112225309538416,0.610875051835044,25,0.7538354273843
P19367,HK1,-0.0477337849179485,0.094279355267224,0.612644966035933,26,0.755416179190356
P13798,APEH,-0.0460672429210744,0.0913227418209788,0.613949145416734,26,0.756248492000289
P43250,GRK6,0.0493027350556207,0.0978332621370108,0.614298936867549,26,0.756248492000289
P02774,GC,-0.0643661162903892,0.12805670137844,0.615219070878219,26,0.756284702850541
P22234,PAICS,-0.0479006178393746,0.0953223218972807,0.615307360183256,26,0.756284702850541
P61020,RAB5B,-0.0705233535645918,0.140990603934921,0.616934990053921,26,0.757682479835698
P02787,TF,0.124257210964893,0.25148861897573,0.621244868558678,26,0.762208390545361
Q9Y5M8,SRPRB,-0.0578534850563602,0.117213321436389,0.621606842774857,26,0.762208390545361
O43169,CYB5B,-0.0806921503544318,0.1640299910225,0.622765050277892,26,0.76225981992015
P61978,HNRNPK,0.033801614808138,0.0687652899144492,0.623037121500067,26,0.76225981992015
O00534,VWA5A,0.0625669998167665,0.127454829386629,0.623500373192092,25,0.76225981992015
P33176,KIF5B,-0.0564526122510943,0.115128875247607,0.623891362648739,26,0.76225981992015
P47712,PLA2G4A,-0.0445165907778195,0.0908454028118614,0.624115645436239,26,0.76225981992015
Q9UBF2,COPG2,-0.0417026434603909,0.0854466484864084,0.625511054636073,25,0.763360647245444
Q15363,TMED2,-0.0624733740378269,0.128306348711737,0.626323604483027,26,0.763748988892089
Q53T59,HS1BP3,0.0599372816125104,0.123283336228907,0.626843062602025,26,0.763779599148366
O43432,EIF4G3,0.061990429989943,0.128480987979263,0.629459901031585,25,0.766363709293774
Q9BS26,ERP44,0.058109481415209,0.120704316876924,0.630217970954856,26,0.766682492224608
P11021,HSPA5,0.0321911665508353,0.0670465244104576,0.631133697751772,26,0.76687250699292
O75069,TMCC2,-0.056436097698985,0.117726511652729,0.631666128546689,26,0.76687250699292
P04792,HSPB1,-0.0456884571288075,0.095361901592156,0.63186323715339,26,0.76687250699292
Q13976,PRKG1,0.0294358276236444,0.0617896961124795,0.633798467819357,26,0.768617451162407
Q16512,PKN1,-0.0492308371075414,0.104236000722264,0.636711479263603,26,0.771544498401778
P49588,AARS1,-0.0581032990481111,0.123581973906149,0.638240720185745,26,0.772350788314678
P61225,RAP2B,-0.0616323153259465,0.131141042326497,0.638376670988895,26,0.772350788314678
Q5T2T1,MPP7,-0.0473244686595255,0.101282374621366,0.640319053187932,24,0.774011280527605
O75369,FLNB,-0.158560759361069,0.339785982609519,0.640751085951331,24,0.774011280527605
P01597;P04432,IGKV1-39;IGKV1D-39,0.11345810371005,0.244013868534358,0.641955947842927,24,0.774387394058407
Q8TEW0,PARD3,0.0271386822565254,0.0583861517512216,0.642064887889203,26,0.774387394058407
Q32P28,P3H1,0.0406636818343958,0.087721375175691,0.64296660308957,26,0.774870048185168
Q15018,ABRAXAS2,-0.0792185006275877,0.171341091778903,0.64383475616348,26,0.775311534117363
P07359,GP1BA,0.0502646935764845,0.109571448751141,0.646421625454429,26,0.777820413806147
Q9NVA2,SEPTIN11,0.0453375600440293,0.099112365460977,0.647357722370125,26,0.778340607830228
O00186,STXBP3,0.0628112375198259,0.137755727379615,0.648418032070585,25,0.779009222044366
Q14141,SEPTIN6,0.099624640852619,0.219854163247582,0.650448178393187,26,0.780294662850079
P23528,CFL1,0.0381194648072248,0.0841358602420644,0.650498074919677,26,0.780294662850079
Q8WWZ8,OIT3,0.122191840830857,0.270925770985126,0.65197806177338,26,0.781163781414172
O95573,ACSL3,-0.0360651141524264,0.0800271328571044,0.65223383690892,26,0.781163781414172
Q14166,TTLL12,0.0443909620918384,0.0991523740272464,0.654366487744716,26,0.783110940019818
P02790,HPX,0.117031893862165,0.2645336604732,0.658193755252774,26,0.786236769277056
Q9BY43,CHMP4A,0.0667464029694086,0.150985858246273,0.658438147003932,26,0.786236769277056
Q9P107,GMIP,-0.0400778195444437,0.0906783059235429,0.658505099964085,25,0.786236769277056
Q969X0,RILPL2,-0.0676249517637972,0.157190711692793,0.667043185972037,26,0.795816001796755
P06733,ENO1,0.0638085266016785,0.149276618450556,0.669050444374611,26,0.797594858455845
Q4KMQ2,ANO6,-0.0355679862787264,0.0841641658532316,0.672585307686987,26,0.801190671068924
Q9Y6N5,SQOR,-0.0523638742559422,0.124822994091396,0.674847077204484,26,0.803265588814274
Q8NG06,TRIM58,0.0301884785872129,0.0723686680313889,0.676569819360021,26,0.80469620547439
Q8NEZ2,VPS37A,-0.0693384042534592,0.167449901663034,0.678812243790265,26,0.806742243581508
P98194,ATP2C1,-0.041248654701222,0.101129564869287,0.683362300993149,26,0.811525561133294
Q14677,CLINT1,-0.0361133992407986,0.0888251055954822,0.684325686864848,26,0.812045457915661
Q9UPN7,PPP6R1,0.0612202217199577,0.150895021919162,0.684952760252342,26,0.812165782494142
P07339,CTSD,0.047222258163845,0.116911509081969,0.686275565417749,26,0.812585628966755
Q9UKE5,TNIK,-0.0421994898317719,0.104676359382072,0.686843392502189,26,0.812585628966755
Q12912,IRAG2,0.0568988021494733,0.141157838883797,0.686884680537593,24,0.812585628966755
Q99442,SEC62,0.0347333160784638,0.0875447416436565,0.691552331961951,26,0.817481524775221
P09104,ENO2,0.0749818294054811,0.190213052755553,0.693433991109487,26,0.819079140874738
Q9BSJ2,TUBGCP2,-0.053573348176211,0.136698960009806,0.695126558459196,26,0.820451132787974
O94979,SEC31A,-0.0360455283919762,0.0929162200160347,0.698063542209959,25,0.822685950169423
P40306,PSMB10,-0.0486705391696538,0.125600446675832,0.698383927569279,24,0.822685950169423
P17812,CTPS1,-0.048103810969419,0.12423908178657,0.698617454124455,24,0.822685950169423
P61158,ACTR3,-0.0505145167208757,0.131177697409686,0.700174705761102,26,0.823891790099697
Q9UH62,ARMCX3,-0.0406564114631194,0.106122190843663,0.70163863201652,26,0.824524360742405
P02655,APOC2,0.052981744923015,0.138471415663855,0.702002546422089,26,0.824524360742405
P00492,HPRT1,0.0474113805922517,0.124232880366615,0.702733520985648,26,0.824524360742405
P02768,ALB,-0.0570564305673065,0.149816030334477,0.703319531435005,26,0.824524360742405
Q06124,PTPN11,0.0270802709472143,0.0712214385587215,0.70377736639411,26,0.824524360742405
P21926,CD9,0.0524615703802698,0.138195518711749,0.704228653694922,26,0.824524360742405
Q15435,PPP1R7,0.04088705895391,0.107866372808245,0.704648598265862,25,0.824524360742405
Q9Y385,UBE2J1,-0.0499284104227465,0.132106412041148,0.705474530960772,26,0.824524360742405
P55039,DRG2,-0.0542226886334257,0.143489571478636,0.705515342978291,25,0.824524360742405
P04070,PROC,0.0374620837829352,0.0993973264261879,0.706253667748462,26,0.824763353493102
P55957,BID,0.0566890678008918,0.151616246970882,0.708479928248975,24,0.825716407217174
P04439,HLA-A,-0.0450512940156488,0.120726750302905,0.709023817569742,26,0.825716407217174
P34913,EPHX2,-0.0316629751093424,0.0848991233316463,0.709186998388247,26,0.825716407217174
Q8WUM4,PDCD6IP,-0.0314609148844142,0.0843635793293053,0.709207554936693,26,0.825716407217174
Q9H939,PSTPIP2,-0.0429018476900435,0.116138143956183,0.71182692007659,26,0.827694025035125
Q8TBF2,PRXL2B,-0.0504724848617805,0.13689415688634,0.712353476746212,24,0.827694025035125
P31150,GDI1,0.0552758838000796,0.150196257610015,0.712855059302184,25,0.827694025035125
Q08495,DMTN,-0.03154166634512,0.0857659934917115,0.713049027392719,26,0.827694025035125
Q15118,PDK1,-0.0452639562969857,0.123725539467773,0.714483234080823,24,0.828603065194028
P36507,MAP2K2,0.0295145812814679,0.0808005867205673,0.714904780520155,25,0.828603065194028
Q9BR76,CORO1B,-0.0506908991050795,0.139389566606798,0.716109294723919,26,0.82937695678295
P11908,PRPS2,0.0328617466161692,0.0906551479360779,0.716984559519945,26,0.829768647534318
Q9Y6W5,WASF2,0.0369828374641178,0.102442652924372,0.718091859685806,24,0.829970570664037
P22891,PROZ,0.0316321585458222,0.0876672321950521,0.718233432348102,26,0.829970570664037
Q9Y2Q3,GSTK1,-0.0366150817972281,0.102646926903677,0.721309673404323,26,0.832902425567772
Q9P270,SLAIN2,0.0382997011998781,0.10771631103568,0.722169480465064,26,0.833272477459689
Q5T5C0,STXBP5,0.0529558365546573,0.151942499107772,0.727445561273547,25,0.838733874751963
Q16610,ECM1,-0.0599926010766789,0.174685305431325,0.731273156574754,26,0.842518290013419
P30566,ADSL,-0.0427561709361838,0.125125435251288,0.732571801647438,26,0.8426852737696
P69905,HBA1,0.0850198451002506,0.249396560540465,0.733177181575034,26,0.8426852737696
Q14318,FKBP8,-0.0299796349713573,0.0882888630767625,0.734185613783634,26,0.8426852737696
Q16644,MAPKAPK3,-0.0309087736553812,0.0911090487659072,0.734421167016754,26,0.8426852737696
Q66K74,MAP1S,0.0380218240094461,0.112078684941203,0.734427251838354,25,0.8426852737696
O60268,KIAA0513,-0.0486041568594931,0.143740655103483,0.735259304377839,26,0.8426852737696
P13639,EEF2,-0.0500189307009407,0.148160250819065,0.73566448944622,26,0.8426852737696
Q16718,NDUFA5,0.0458279653413991,0.135808719350572,0.735781510883619,25,0.8426852737696
P00338,LDHA,0.0371530869046528,0.110622218788817,0.736979792617221,25,0.843166040159656
P21964,COMT,0.023819097625281,0.0710849685006264,0.737565308323186,26,0.843166040159656
P61204;P84077,ARF1;ARF3,-0.0704933799199522,0.210605853011211,0.737838502456864,26,0.843166040159656
Q96T76,MMS19,-0.0385601817236885,0.115589766624731,0.738685103439764,26,0.843509597054276
P00734,F2,0.0239539663495709,0.0724168652340267,0.740811548671912,26,0.844841811680362
O95373,IPO7,-0.0384966316893204,0.116444164487865,0.740945407654945,26,0.844841811680362
Q9Y5K6,CD2AP,-0.0438133461432983,0.133603845483773,0.742960984581698,26,0.846515281105253
Q99719,SEPTIN5,-0.0446488933504938,0.137875671012413,0.746063366144818,26,0.848806469904277
P12931,SRC,-0.0282584448184974,0.0873663998691199,0.746356350904964,26,0.848806469904277
Q92616,GCN1,-0.0300237904186671,0.0929243511783743,0.746620059935219,25,0.848806469904277
P28290,ITPRID2,0.0394522616309453,0.122974069653121,0.748348523959292,26,0.849878745258103
Q8N4C8,MINK1,-0.0297259052976447,0.0927768277616708,0.7486634124895,26,0.849878745258103
O75695,RP2,0.058314168735971,0.185689649621143,0.753489876880241,23,0.854729706152697
Q14644,RASA3,0.0228775683038264,0.0738327383940179,0.756669935428538,26,0.85609877329568
O43852,CALU,0.0389581980741422,0.125838995262194,0.756874553581866,26,0.85609877329568
P05141,SLC25A5,-0.0443183186481419,0.143310622300673,0.757133969737137,26,0.85609877329568
Q16881,TXNRD1,0.028028278852956,0.0906386589357805,0.75714585012938,25,0.85609877329568
Q8TCJ2,STT3B,-0.0425578580673825,0.137813178349691,0.757467328864204,26,0.85609877329568
P16109,SELP,0.0429017782294696,0.139392747537103,0.758252588595088,26,0.856359831417698
Q8IWA5,SLC44A2,-0.0290536288884494,0.0947669047220675,0.759163149070893,25,0.85676191768775
O00410,IPO5,0.0288044505951666,0.094663349057952,0.760912273377906,26,0.858109096619609
Q9Y3F4,STRAP,-0.0282241776639474,0.093153956401543,0.761901896803329,26,0.858598417623007
Q16543,CDC37,-0.0410772426595358,0.136756540438488,0.763896725557043,26,0.860218980310227
E9PAV3,NACA,0.0535274199401452,0.180367500709843,0.766643140382145,25,0.862272925503174
P0DJI9,SAA2,-0.084786021664837,0.285941862840506,0.766836892971755,26,0.862272925503174
Q9HC35,EML4,-0.0200099146942238,0.068007541902696,0.768581532876571,26,0.863606158759493
Q9H9Q2,COPS7B,0.0442017866430549,0.151419276938931,0.770350461018219,26,0.864964725489207
Q13501,SQSTM1,0.0326295498309401,0.113765370493617,0.77425441380995,25,0.86871682595234
Q12931,TRAP1,0.0910354436827169,0.320014456029541,0.776047991201438,26,0.870097348625705
P13667,PDIA4,0.0222535308344645,0.078639242944604,0.777190239563474,26,0.870400398726551
O75390,CS,-0.0376272199476097,0.133436487617922,0.777954253595096,26,0.870400398726551
P61923,COPZ1,0.0416098069934804,0.147699535997053,0.778158769439141,25,0.870400398726551
P45880,VDAC2,-0.0390034307000719,0.138713005865728,0.778571748246015,26,0.870400398726551
O00743,PPP6C,0.0326753587158961,0.117918339519266,0.781702105234924,26,0.872241461190091
P48556,PSMD8,-0.0319339470718726,0.11531180037374,0.781829526753378,26,0.872241461190091
O95299,NDUFA10,0.0208392113052754,0.0752785772887795,0.781912248380762,24,0.872241461190091
Q15008,PSMD6,0.0276831903477801,0.100460578899049,0.782883946680185,25,0.872695308528777
P51970,NDUFA8,-0.0356320396001563,0.129787197950525,0.78366811571413,26,0.872939609789713
P07237,P4HB,0.0217030050277605,0.0796615020293136,0.785283474597033,26,0.873090864111021
P30085,CMPK1,-0.0212875372108099,0.0781726879234032,0.785380396960972,25,0.873090864111021
Q7L5N1,COPS6,0.0178126037560511,0.0654490854978864,0.785499224022213,26,0.873090864111021
O14828,SCAMP3,-0.028189318602856,0.104428207763402,0.787206647778244,26,0.874302185419725
Q99733,NAP1L4,0.0399457338308338,0.148347455578823,0.787720803950975,26,0.874302185419725
Q06187,BTK,-0.0278223055477622,0.104576412255881,0.790202534991323,26,0.875864097575753
Q9UN37,VPS4A,0.0327663889545464,0.12319552636266,0.790261845968026,25,0.875864097575753
Q16531,DDB1,0.0210022572670433,0.0796017648120549,0.791901975138,26,0.876684481314744
Q92598,HSPH1,-0.0242807757778211,0.0921343133938335,0.792136916450086,26,0.876684481314744
Q06830,PRDX1,0.021213369966521,0.081264323594411,0.794060418272189,26,0.877750476105821
P35998,PSMC2,-0.0321292126705069,0.123188469377778,0.794236353136529,26,0.877750476105821
Q15404,RSU1,0.0331071203359042,0.130049146575927,0.799052208628111,26,0.881697382368258
P46976,GYG1,0.0347628350977911,0.136849154782945,0.799477776622776,26,0.881697382368258
O15533,TAPBP,0.0288094305336889,0.113797596934066,0.800141649320512,26,0.881697382368258
P98171,ARHGAP4,0.0164977124312818,0.0653069556678373,0.800563420221617,26,0.881697382368258
P49908,SELENOP,0.031174930896142,0.123469187963854,0.800661118098813,26,0.881697382368258
P48736,PIK3CG,0.023565798634519,0.0940004907203261,0.802047083840936,24,0.882253084894273
Q9ULV4,CORO1C,0.019974709232689,0.0797834788168982,0.802307821538158,26,0.882253084894273
P0DP23;P0DP24;P0DP25,CALM1;CALM2;CALM3,-0.0553771301060436,0.222203383998887,0.80319199248761,24,0.882279791532017
P04264,KRT1,0.098521690151417,0.395902600053803,0.803474217919448,25,0.882279791532017
Q8N392,ARHGAP18,0.019268712624692,0.0800531404739865,0.809788396975051,26,0.888564844455213
O15173,PGRMC2,0.0298856666654096,0.124535576695669,0.810348133228088,26,0.888564844455213
P05546,SERPIND1,-0.0294783929694347,0.123536931712679,0.811400190495837,26,0.889087442777353
P41226,UBA7,0.0262445579792541,0.110752996553671,0.812684124019798,26,0.889234103530106
P18433,PTPRA,-0.0216555051952694,0.0913875348173971,0.812685148339488,26,0.889234103530106
P02679,FGG,0.0198931196895665,0.0869781351745027,0.819091190588301,26,0.895609263594427
Q00765,REEP5,-0.0215672556922162,0.0950988418518062,0.820588762470006,26,0.896612190959094
Q9UHB6,LIMA1,-0.0196110319982263,0.0869958647912352,0.821648761677313,25,0.897135927061094
Q5SW79,CEP170,0.0127831054297416,0.0588591783009233,0.828067155710851,26,0.903505477099763
O60496,DOK2,-0.0190482404048642,0.0884685105198627,0.829524880983857,26,0.903671944488384
P29692,EEF1D,0.0219017487193754,0.101761645838873,0.829591145863718,26,0.903671944488384
Q6ZVM7,TOM1L2,-0.0251328398123593,0.117315627216031,0.830365622058519,26,0.903671944488384
