Genes,akutt,q_a,kronisk,q_c,strikt
GNAQ,0.313492364382306,0.122106712683383,-0.211648941840641,0.199976909492686,FALSE
NAP1L1,0.329601864292837,0.0906100172139035,-0.20888926973613,0.152038023868482,FALSE
STX11,0.146306119721274,0.240087187484795,-0.205636390367063,0.0212809245956953,FALSE
GRB2,0.211529560947221,0.230918645148798,-0.205471291673758,0.0688707459128668,FALSE
DERA,0.251872467260374,0.12733020328928,-0.201649073357219,0.0558323161799787,FALSE
LRBA,0.139268668548768,0.180710356352903,-0.201563852532284,0.0840812638087479,FALSE
GOLIM4,-0.29291158898338,0.116035701475357,0.196736487564171,0.185320413862917,FALSE
GAPDH,0.33897186732488,0.0880120149652951,-0.195129839138954,0.193131977187751,FALSE
IQGAP2,0.174479350332505,0.116035701475357,-0.192453329734294,0.0746052792400597,FALSE
ARHGAP6,0.218204631015665,0.116035701475357,-0.192070684495558,0.114118941362622,FALSE
DCTN2,0.167881729327433,0.234769929172175,-0.191951159161929,0.0421430138887654,FALSE
ECPAS,0.130826591355509,0.118116869680859,-0.176241367082906,0.157228748003735,FALSE
SPTBN1,0.14908313584302,0.086205277236857,-0.170609350197014,0.118645522421439,FALSE
SKIC3,0.263479953586455,0.0882836596131723,-0.168512517613843,0.208925246782368,FALSE
GANAB,0.144537387672859,0.192254563848057,-0.160728012361175,0.0055883506230472,FALSE
GRIPAP1,0.120477063375178,0.227160180702464,-0.149330312456922,0.131655372534967,FALSE
RTRAF,0.179707316143724,0.208245132318528,-0.142982379967719,0.110870565953831,FALSE
PDLIM7,0.192737118792256,0.156145756245414,-0.139960271631058,0.184777733672076,FALSE
GUCY1B1,0.140886409904553,0.230918645148798,-0.129041180270875,0.104563118531684,FALSE
SERPINB1,0.122021875540593,0.086205277236857,-0.111369044424856,0.102459669607926,FALSE
PACS1,0.118437745109335,0.19494917632591,-0.100014898692379,0.248497558187942,FALSE
