Genes,p_VO2_marg,p_M_marg,p_VO2_adj,p_M_adj
RAB3GAP1,0.581219555374717,0.772610700381039,0.347512461923215,0.412594462246996
HIBCH,0.00954244177414344,0.00251438131976345,0.34771167293644,0.0573045010652322
SVEP1,0.309430350387782,0.656343102429612,0.347930386084373,0.777091639256827
HACD4,0.761817189088165,0.481195750199639,0.351761708857197,0.263748658375245
UBR4,0.464636191195762,1,0.352519691884631,0.552204818944479
KSR1,0.636048200499665,0.797263131525069,0.352543369550928,0.397956651057186
HYOU1,0.680221122272261,0.646670296044988,0.352680860179724,0.34252455581496
SFXN3,0.793806977211449,0.470192305593045,0.354433978634325,0.256634756920919
APOD,0.386370673708616,0.817631618148641,0.354530614116874,0.663233224400989
LAMB1,0.152412809958778,0.264198861633029,0.357014236462702,0.781882630113848
ANKRD28,0.268894571177048,0.50766621461397,0.358919058486158,0.748544018347702
C1R,0.476339383867603,0.992003988427753,0.360676414958397,0.55412513113897
FYB1,0.432553421190425,0.901620047788956,0.36211783279348,0.613191336269946
STK3,0.390844991656962,0.820948042910979,0.365368480572994,0.684857039142895
TMEM43,0.215343728391278,0.402889432933746,0.366718281321541,0.9081218822
CYB5R3,0.741012734700544,0.582924855347584,0.367746336596599,0.318950475591888
ADAMTS8,0.847623986022974,0.414490571673271,0.370364079452787,0.238230931929295
C2,0.499587532932991,0.986673692429052,0.372664544205597,0.549269645473509
EFEMP2,0.992713920791329,0.2740493925704,0.375725947379578,0.165659515370865
SPP1,0.687570087612465,0.67340267143055,0.376845783803853,0.37255375278739
PIP4K2A,0.283993346956182,0.544285281078756,0.382141411032577,0.905455309530811
COPA,0.44000687074723,0.893174893570786,0.383963988607149,0.650236009138575
THBS3,0.397643299969043,0.789168316266519,0.385360242834535,0.711481783651344
TAP1,0.404972112978857,0.796686746072544,0.385799663549239,0.688172622458319
GGH,0.72661417240502,0.72957121358049,0.385996733665649,0.3869553358954
DBN1,0.970886047103563,0.342839689620538,0.389325256755924,0.206510207083353
DNM2,0.56017218997579,0.158830702106608,0.390238084458951,0.131530260593676
F13B,0.665608723643604,0.0986635810835048,0.393625881672105,0.0751892552937761
ACLY,0.815048354730807,0.498088994928483,0.394161253240127,0.292289579385062
VDAC1,0.611903707453755,0.0670421312919193,0.394203032047649,0.0542697105119625
ACSL4,0.459663566412498,0.915799952740394,0.394239360745079,0.640555388221926
DCTN2,0.899652565961156,0.422353579829477,0.394562652495791,0.25032403836966
AKAP12,0.675337507410923,0.725521302751343,0.398489354439156,0.415737099000923
ARHGAP6,0.183414395459178,0.296350708374372,0.398633629252033,0.812664889124433
CAST,0.595487632595315,0.731801160191591,0.399779275395879,0.456466915576605
SAA4,0.137776988418909,0.197340181371848,0.399978630495753,0.66646857126927
APOM,0.586313200327894,0.880487628553171,0.403596379015272,0.509148072810402
PLXDC2,0.225701912630406,0.382310387164317,0.405389901749362,0.910353286602145
GLIPR2,0.234001347115286,0.3913479130141,0.407524451279905,0.860104395454787
RAB1A,0.630790906742186,0.812438240184526,0.408295583869529,0.472365924753967
CDH23,0.958144681927818,0.257458355455517,0.410089677715445,0.168891341281805
HECTD3,0.506024226773049,0.962697658732127,0.411653784549967,0.615148264078326
FGFR1,0.669250950121068,0.75587544172499,0.411990301661806,0.442225835427035
TMT1A,0.860771675123218,0.467905286954029,0.414352879841048,0.286377649603253
NDE1,0.223624917378575,0.377437624817372,0.415945329931921,0.950251895919173
INHBC,0.384566632159191,0.71559546914385,0.416944412493439,0.792936700697123
COLEC11,0.717237231799083,0.69062404231304,0.417741040084724,0.408950673744503
NRP1,0.977500971377393,0.322398811766536,0.417922198114931,0.207733316003362
TMED8,0.84734095352036,0.513405967731986,0.418610993500699,0.311438033278552
MMP19,0.395751760342392,0.730553253296961,0.419504806761602,0.78534351390427
LRRC32,0.441922003580045,0.826316171347666,0.419983834688819,0.709669592833218
VAPA,0.74604857008062,0.653919666215622,0.421652177244683,0.390800009554154
SERPINA5,0.0282944778510407,0.0122017534654709,0.422148702584829,0.139983114807092
LRBA,0.486837349193608,0.906914136239609,0.423386356661135,0.661916776166735
TAOK1,0.774109314281536,0.596765465548714,0.425603063550749,0.364710054683261
EHD3,0.386370673708616,0.69805226873781,0.4280580516725,0.818027708683258
FLT4,0.770104449193358,0.170918808076333,0.429101599555811,0.126501287162378
