Protein.Group,Genes,n_obs,n_ID,est_ri,se_ri,p_ri,q_ri,shapiro_p,shapiro_p_marginal,shapiro_p_ranef,bp_stat,bp_p,bp_p_marginal,spearman_rho_absres_fitted,spearman_p,levene_p
P06681,C2,52,26,0.449494433905147,0.233205715143349,0.0539224639116097,0.185320413862917,7.50962735855724e-06,7.50962735855724e-06,,3.83264268249744,0.0502636242188026,0.0502636242188026,0.216569413738935,0.123047739388232,0.367856484357732
P08603,CFH,52,26,0.207633630851035,0.202047627190899,0.304115923624062,0.497205398940927,7.87322747290605e-06,7.87322747290605e-06,,3.69156109122096,0.0546884083914794,0.0546884083914794,0.175118864724174,0.214338249319377,0.353209226128254
Q92820,GGH,49,26,0.308745099265335,0.178005795016859,0.0828353337784871,0.238793084810801,8.73032794498058e-06,1.01911220140613e-05,0.086511573676946,5.76630943822655,0.0163363069857234,0.0317465301806502,0.323265306122449,0.0239128009854379,0.280593616314476
O14980,XPO1,52,26,-0.121143724908174,0.116904320516864,0.30007905163455,0.492167871311443,8.91719108333616e-06,1.603794635902e-05,0.138974580328656,0.358944469436474,0.5490930352895,0.70724841737944,0.0554938956714761,0.695212891954124,0.403704711052809
P07360,C8G,52,26,0.432681997606854,0.199444777448931,0.0300498579202484,0.140434172716405,9.97779774051269e-06,1.88480443598835e-05,0.0642567553661987,11.2917006459132,0.000778543331552319,0.0323233666195596,0.298471783488432,0.0320107090582311,0.499465984774899
P02750,LRG1,52,26,0.282806885476844,0.330495844923284,0.392161076825923,0.575393032949717,1.68871453060454e-05,1.41907713754288e-05,0.0100221574048745,1.58740533544177,0.20769723101885,0.25931625934094,0.144028003073508,0.30738603150982,0.285553445010044
Q04756,HGFAC,52,26,0.369557363524909,0.243917042199765,0.129748480100166,0.305292260825664,1.74765019253942e-05,1.74765019253942e-05,,0.6209486144678,0.430694993236797,0.430694993236797,0.113223403916492,0.424178591074926,0.359847638970895
P01780,IGHV3-7,51,26,0.311175993698171,0.294173805376765,0.290148272259547,0.482370523485909,1.80910849315792e-05,7.1913495530597e-05,0.320626207980137,9.60377584742499,0.00194177679821741,0.129282157769788,-0.0342081447963801,0.81121376880636,0.475681774754473
P69905,HBA1,52,26,0.0850198451002506,0.249396560540465,0.733177181575034,0.8426852737696,1.95620307042415e-05,9.34693202926107e-05,0.309353953049553,11.0679713971966,0.000878317225840906,0.18287577859783,0.205668914880902,0.143260849708578,0.959249001769312
Q9Y3C8,UFC1,40,22,-0.168010796495332,0.101992358283096,0.0994988459101567,0.265522881559118,2.00331834679804e-05,3.08177416008529e-05,0.0245698403122082,0.0140855947254485,0.905526704859206,0.448855663305519,0.143151969981238,0.376866677700048,0.218520346451369
P04180,LCAT,51,26,0.526790732157859,0.232170854328423,0.0232696188532303,0.12023933487706,2.07721507920884e-05,2.07721507920884e-05,,3.09057004579162,0.0787472167457858,0.0787472167457858,-0.00790643386943894,0.956087265259543,0.524437130603326
P84095,RHOG,51,26,0.107430850400407,0.129346524538745,0.406218739883676,0.588198643974019,2.16979899398449e-05,2.16979899398449e-05,,0.56737491196316,0.451303946079153,0.451303946079153,-0.183138524829374,0.19831805090205,0.940188974789398
P19652,ORM2,52,26,0.311446108755634,0.175320128119585,0.0756600282021936,0.230315825572477,2.17770220446501e-05,4.1253490410696e-05,0.237284008961427,7.90770404391088,0.00492247050771423,0.027392291157273,0.318108085033723,0.0219595365484326,0.13520725641609
O75882,ATRN,52,26,0.424146897870854,0.220650364766552,0.0545733196522419,0.185320413862917,2.36236886303455e-05,2.36236886303455e-05,,0.496971255036951,0.480833958020278,0.480833958020278,-0.0988602063910854,0.48563235661029,0.729693090977695
Q71U36,TUBA1A,52,26,0.165165948419166,0.240083989221553,0.491483827672018,0.664341656827006,2.45390940468954e-05,4.42489863427377e-05,0.358815561684938,1.13417549104913,0.286886448414698,0.203102033954134,0.170750448219927,0.225471831541537,0.295226706451474
P00751,CFB,52,26,0.512001009132966,0.260288246630951,0.0491769978453658,0.17793550742644,2.51743161125957e-05,2.51743161125957e-05,,4.14612763653608,0.0417298524221982,0.0417298524221982,0.229293567702884,0.102021333506515,0.309952556417164
P07359,GP1BA,52,26,0.0502646935764845,0.109571448751141,0.646421625454429,0.777820413806147,2.56275278578361e-05,2.84163855274269e-05,0.0143686491937413,1.24937514246762,0.263671855242052,0.16703464301414,0.124050200631777,0.379832228000768,0.0759967551220084
P08185,SERPINA6,51,26,0.408820772555378,0.335577007691849,0.223124362169691,0.418866512214061,4.44738673932299e-05,7.06127043944133e-05,0.202841863407339,2.54701290355099,0.110502999911495,0.358334130691996,0.157556561085973,0.268633656021381,0.564700768352325
Q15018,ABRAXAS2,51,26,-0.0792185006275877,0.171341091778903,0.64383475616348,0.775311534117363,4.58894671834359e-05,4.85670906729992e-05,0.00751779461377185,15.7300418818347,7.30546414251941e-05,0.0967351391076744,-0.409321266968326,0.00307320572495749,0.61825834438647
P42224,STAT1,46,25,-0.0532688546533509,0.101793437713537,0.600763117550078,0.745765702125352,4.66074917554835e-05,4.17644877372324e-05,0.00569803362168339,12.6450672309212,0.000376557927287788,0.584829806881308,0.262658032685785,0.0779970839946669,0.547432689485437
O15143,ARPC1B,52,26,0.354459219801737,0.150670604735512,0.0186454861306051,0.104753731170127,4.98809810449893e-05,0.00048052605124099,0.438634902353354,10.8232285057491,0.0010023455196804,0.0267527671776643,-0.361478698881585,0.00880112024814176,0.286986522128714
P60660,MYL6,52,26,-0.179077999339391,0.166059537388037,0.280856914292553,0.472456425842375,5.1554705177054e-05,4.79655168369407e-05,0.00267319701738693,0.0418292497517735,0.837945599384553,0.317197208082325,-0.0751301972167677,0.595567337404439,0.318984809741642
P03952,KLKB1,52,26,0.316038581242655,0.199705921031314,0.113530947853367,0.28352549610646,8.26969678996595e-05,0.000360198626063264,0.944302571671846,8.81525530374431,0.00298722411045244,0.0573338515962546,0.241611884231196,0.0845192359494168,0.443592023873319
Q00325,SLC25A3,52,26,-0.0965815550729801,0.174155143347186,0.579187488848496,0.730966744860379,8.4412597334549e-05,8.4412597334549e-05,,5.91429719002517,0.0150184930443171,0.0150184930443171,-0.522251037950812,7.15364922059299e-05,0.387532883359944
O75396,SEC22B,49,26,-0.256611137238609,0.199739748573789,0.198887543511332,0.386900253736676,8.76032711218398e-05,0.000154637186816166,0.237756765390106,0.51539770388828,0.472811520774071,0.297301351272674,0.118979591836735,0.41431876766498,0.611005986618455
P01023,A2M,52,26,0.238720901633971,0.163597596847534,0.144511265808911,0.322644372362381,8.90668475946397e-05,0.00040943890822453,0.475276863027059,9.94492996141446,0.00161293006935082,0.0940112637980313,0.118756936736959,0.400619715615959,0.719405170977637
P00740,F9,52,26,0.206072328690611,0.117756926391489,0.08012167308243,0.235612066315097,9.78359280554743e-05,1.89689323633992e-05,0.000549574975875216,13.0248002498332,0.000307392864127115,0.491217134370672,-0.207803295483651,0.139086126876157,0.675426317554939
