Genes,est_B2,est_B3,p_time,n_ID,q_time
FGL1,-0.229248475214889,-0.00591591930671166,0.124495684428924,26,0.407490279870885
F9,-0.176633899210263,-0.0973326518808042,0.124849124390239,26,0.407707721825453
CAT,-0.161509001441529,-0.0284148271592891,0.125110848689372,26,0.407707721825453
XPO1,0.129976935881737,-0.0825182899445866,0.125813677516985,26,0.409100929519123
AK2,-0.17399270069714,-0.122929974039492,0.129699914669413,26,0.417828714016105
IGLV1-36,-0.363939708232842,-0.398374871792288,0.129972607424951,26,0.417828714016105
IGLV3-27,-0.31334101674317,-0.0810671097165692,0.129988550674028,26,0.417828714016105
NIPSNAP3A,-0.131544921144021,-0.250980935214805,0.130258763386837,24,0.417828714016105
APOF,0.0435838715681987,0.193808684291854,0.130677780694094,26,0.417828714016105
MASP2,-0.130278324135875,0.16720674575538,0.130713495086977,26,0.417828714016105
CAP1,0.0611031484329772,-0.114164603686119,0.131071116861735,26,0.417828714016105
IPO7,0.181742561811041,0.0603832624718789,0.131245643780548,26,0.417828714016105
XPO7,0.152148989740253,-0.0894461666074806,0.131501422782478,24,0.417828714016105
HLA-C,-0.4029792628522,-0.445680541094893,0.131560298810681,23,0.417828714016105
MYCBP2,0.167179179835419,0.129383502046537,0.131590739003726,23,0.417828714016105
ALDOB,-0.383115540106851,-0.273817788373115,0.132205878385824,25,0.417838902904187
TSG101,0.190748019005266,0.109925813176338,0.132445271791788,26,0.417838902904187
F12,-0.551923828515424,-0.32988779481293,0.132787783616982,26,0.417838902904187
SNCA,0.201485487899081,0.121910605020858,0.133631226514469,26,0.417838902904187
XPNPEP1,0.167168095441675,0.0573697068411288,0.134142592836841,26,0.417838902904187
PLXNB1,-0.281647752073999,-0.113306131047418,0.134152232151002,26,0.417838902904187
RAB3GAP1,0.132421423312934,0.0615005607794669,0.134583257782329,26,0.417838902904187
LRRC47,0.126458821443907,0.0900635670415776,0.134637466857912,26,0.417838902904187
PPP1CA,-0.0788308122899221,0.0858396035432519,0.134668312617382,26,0.417838902904187
CPNE1,0.184227122736679,-0.0197405820165997,0.134748915844732,26,0.417838902904187
IGHV3-49,-0.241437586923294,0.241335610515864,0.134782169310756,26,0.417838902904187
ALDOA,0.0968457517400697,-0.0573372724368886,0.135019714577671,26,0.417838902904187
RTN4RL2,-0.14800880300542,0.10444500234278,0.135249335327667,26,0.417838902904187
UQCRC2,0.0333346365193638,-0.143238231754694,0.135593248929751,26,0.418032298567654
PDLIM5,-0.0732898994680598,-0.179607123882628,0.137524778761598,26,0.42203741095441
NRP1,-0.171472761196831,0.101708668758268,0.138259890099986,26,0.42203741095441
EIF3B,0.140522293490541,-0.00856503382265734,0.138763088752558,26,0.42203741095441
MTM1,0.137380564991871,0.162091810454682,0.139036185603159,26,0.42203741095441
DNM1L,0.101872707030794,-0.00254502157279698,0.139180364397553,26,0.42203741095441
COL12A1,-0.104541966039018,0.10845541617342,0.139214823834219,26,0.42203741095441
MAPRE1,0.197950562398553,0.123812291341028,0.139450910369439,26,0.42203741095441
PDIA6,0.174725743403664,0.202496977116331,0.13948247300759,26,0.42203741095441
HSD17B4,0.161842796313332,-0.0399878907879408,0.139548813023636,26,0.42203741095441
NSDHL,0.235876049113021,0.0515538754327263,0.140322992742408,26,0.42203741095441
C4BPB,-0.310180878085151,0.0543086334020415,0.140835066800398,26,0.42203741095441
CDH5,-0.252939497360173,-0.0213789197907884,0.140907626732725,26,0.42203741095441
OPTN,-0.028162183040542,0.179109584990135,0.14093897630607,26,0.42203741095441
MTHFD1,-0.0220540256622174,-0.147334263247801,0.141112865978331,26,0.42203741095441
EMD,0.149940205462593,-0.0316301826763874,0.14128006555251,26,0.42203741095441
ASAP2,0.143556050556036,0.051569717694829,0.141562447456579,26,0.42203741095441
LGALS3BP,-0.0940303431420267,0.0874565400409133,0.141763933701609,26,0.42203741095441
IGHV1-24,-0.251343618679182,0.0756399005836174,0.142242225461463,26,0.42203741095441
DENND2C,0.0687164198100394,-0.086040461025125,0.142288521459057,26,0.42203741095441
PPM1A,0.100482961838947,0.181234886376354,0.144139587018813,26,0.425406617373484
ST8SIA4,-0.296660204681504,-0.0626365751458265,0.144312793360455,26,0.425406617373484
APOL1,-0.321676965841701,-0.288925587883574,0.144407717555704,26,0.425406617373484
PSMA3,-0.210776890901921,0.167855781088257,0.144569543589239,25,0.425406617373484
CMPK1,0.116323978088489,-0.025128654584583,0.146146320673704,25,0.429196506958743
ECE1,0.0640248377932622,-0.110925022780604,0.146876959886968,26,0.430491444560227
FNBP1L,0.190988382677648,0.112257897631372,0.147245052932272,26,0.430720765073537
C3,-0.132872813790035,-0.171552089952514,0.147942552883689,26,0.431910871483618
ASAP1,0.0185653999699755,-0.101106751645122,0.148921665179209,26,0.433916851875108
HIBCH,0.168280440199921,0.149332316647829,0.149757432114302,24,0.43416333972296
GOLM1,-0.286181677064953,-0.0523972753721247,0.149855269274477,26,0.43416333972296
TOLLIP,-0.0768986022328005,-0.175793129992874,0.149882768020107,26,0.43416333972296
FYB1,0.156915568236876,0.0547224463403997,0.150527909301937,26,0.435183800044122
TRPC6,0.0581716012176491,-0.115969117801992,0.150823964748772,25,0.435193032265388
DOCK5,0.0892014911449818,-0.0591900138703797,0.152074157347765,26,0.436629253175094
PRKAA1,0.123787525673968,0.0418201017945608,0.152132258342853,26,0.436629253175094
DPEP2,-0.250575259644903,-0.0955047698071762,0.152714880335814,26,0.436629253175094
